SID,start_time,end_time,start_year,max_wind,n_track_points,mean_lat,mean_lon,any_landfall,first_landfall_time,first_landfall_lat,first_landfall_lon,first_landfall_wind,first_landfall_nature,peak_intensity,landfall_intensity
1950269N05153,1950-10-01 00:00:00,1950-10-05 06:00:00,1950,100.0,35,18.52857142857143,119.07428571428572,True,1950-10-01 18:00:00,16.7,122.3,60.0,TS,TY,TS
1950322N06138,1950-11-19 18:00:00,1950-11-22 18:00:00,1950,60.0,25,12.012,120.012,True,1950-11-20 06:00:00,9.3,125.8,40.0,TS,TS,TS
1950360N10141,1950-12-29 00:00:00,1951-01-01 06:00:00,1950,80.0,27,13.962962962962964,120.33333333333333,True,1950-12-29 18:00:00,13.8,123.8,70.0,TS,TY,TY
1951119N06145,1951-04-29 12:00:00,1951-05-12 18:00:00,1951,150.0,107,17.034579439252337,131.7495327102804,True,1951-05-04 21:00:00,12.0,125.1,95.0,TS,STY,TY
1951206N11145,1951-07-26 12:00:00,1951-08-02 00:00:00,1951,120.0,53,16.750943396226415,124.31698113207547,True,1951-07-30 00:00:00,17.2,122.3,100.0,TS,TY,TY
1951239N11144,1951-08-30 06:00:00,1951-09-04 00:00:00,1951,100.0,39,18.646153846153847,117.83846153846153,True,1951-09-01 03:00:00,18.2,121.8,73.0,TS,TY,TY
1951263N08137,1951-09-24 00:00:00,1951-09-26 18:00:00,1951,90.0,23,20.795652173913044,119.09565217391304,True,1951-09-24 03:00:00,17.8,121.7,28.0,TS,TY,TD
1951321N09143,1951-11-18 00:00:00,1951-11-26 12:00:00,1951,90.0,69,12.555072463768115,119.44782608695651,True,1951-11-20 12:00:00,11.4,125.4,90.0,TS,TY,TY
1951337N09150,1951-12-03 00:00:00,1951-12-17 06:00:00,1951,120.0,115,11.125217391304348,126.44434782608695,True,1951-12-09 12:00:00,10.7,124.8,90.0,TS,TY,TY
1952180N05144,1952-06-28 00:00:00,1952-07-06 12:00:00,1952,110.0,69,11.959420289855073,126.1768115942029,True,1952-07-02 06:00:00,10.1,125.2,90.0,TS,TY,TY
1952236N10135,1952-08-22 12:00:00,1952-08-30 00:00:00,1952,75.0,61,16.42622950819672,118.06721311475411,True,1952-08-25 12:00:00,15.9,121.4,40.0,TS,TY,TS
1952241N08137,1952-08-29 12:00:00,1952-09-04 12:00:00,1952,65.0,49,23.26938775510204,125.10408163265306,True,1952-08-31 21:00:00,18.3,122.3,63.0,TS,TY,TS
1952245N09139,1952-09-02 12:00:00,1952-09-08 12:00:00,1952,80.0,49,18.183673469387756,115.7204081632653,True,1952-09-04 06:00:00,17.3,122.3,65.0,TS,TY,TY
1952287N09148,1952-10-15 12:00:00,1952-10-26 00:00:00,1952,120.0,85,11.864705882352942,125.34117647058824,True,1952-10-22 00:00:00,13.7,123.2,100.0,TS,TY,TY
1952289N15128,1952-10-17 00:00:00,1952-10-20 18:00:00,1952,65.0,31,12.558064516129033,114.19999999999999,True,1952-10-17 00:00:00,12.9,121.2,25.0,MX,TY,TD
1952296N06152,1952-10-21 12:00:00,1952-10-31 12:00:00,1952,160.0,81,10.962962962962964,129.1679012345679,True,1952-10-27 03:00:00,11.3,125.6,125.0,TS,STY,TY
1952326N07144,1952-11-22 06:00:00,1952-11-27 12:00:00,1952,150.0,43,17.390697674418604,123.31395348837209,True,1952-11-25 00:00:00,17.1,122.2,100.0,TS,STY,TY
1952352N07147,1952-12-16 12:00:00,1952-12-25 12:00:00,1952,130.0,73,11.145205479452056,125.36712328767122,True,1952-12-20 21:00:00,12.2,124.9,60.0,TS,STY,TS
1953148N08150,1953-05-28 00:00:00,1953-06-07 18:00:00,1953,120.0,87,16.164367816091954,131.7229885057471,True,1953-06-04 00:00:00,17.2,122.2,60.0,TS,TY,TS
1953172N08142,1953-06-24 00:00:00,1953-06-26 00:00:00,1953,40.0,17,14.958823529411765,124.51176470588234,True,1953-06-25 18:00:00,16.2,122.1,35.0,TS,TS,TS
1953299N09138,1953-10-25 12:00:00,1953-11-02 00:00:00,1953,130.0,61,15.242622950819671,119.51147540983607,True,1953-10-28 00:00:00,14.8,121.6,40.0,TS,STY,TS
1953313N06155,1953-11-08 18:00:00,1953-11-20 00:00:00,1953,120.0,91,12.878021978021978,133.47582417582416,True,1953-11-16 18:00:00,17.3,122.3,90.0,TS,TY,TY
1954060N06136,1954-03-01 00:00:00,1954-03-04 12:00:00,1954,50.0,29,8.448275862068966,129.35172413793103,True,1954-03-03 18:00:00,9.6,125.6,35.0,TS,TS,TS
1954125N07131,1954-05-05 00:00:00,1954-05-12 18:00:00,1954,100.0,63,12.792063492063491,117.6952380952381,True,1954-05-06 12:00:00,8.5,126.4,35.0,TS,TY,TS
1954273N16146,1954-09-30 00:00:00,1954-10-13 00:00:00,1954,85.0,105,16.932380952380953,128.06952380952382,True,1954-10-08 00:00:00,17.4,121.8,80.0,TS,TY,TY
1954307N04148,1954-11-02 12:00:00,1954-11-11 12:00:00,1954,150.0,73,13.093150684931507,129.36712328767123,True,1954-11-08 09:00:00,16.3,121.4,65.0,TS,STY,TY
1954314N11152,1954-11-10 00:00:00,1954-11-20 06:00:00,1954,150.0,83,14.571084337349399,131.43975903614458,True,1954-11-17 21:00:00,17.1,122.5,138.0,TS,STY,STY
1954326N12157,1954-11-22 00:00:00,1954-12-01 06:00:00,1954,125.0,75,11.585333333333333,139.24533333333332,True,1954-11-29 09:00:00,11.1,124.6,78.0,TS,TY,TY
1955001N08140,1955-01-01 18:00:00,1955-01-06 06:00:00,1955,70.0,37,7.356756756756757,128.47027027027025,True,1955-01-04 15:00:00,7.3,126.4,65.0,TS,TY,TY
1955259N10153,1955-09-16 06:00:00,1955-09-26 18:00:00,1955,130.0,85,15.379999999999999,128.31058823529412,True,1955-09-23 06:00:00,17.7,122.0,115.0,TS,STY,TY
1955329N10129,1955-11-29 12:00:00,1955-12-03 06:00:00,1955,130.0,31,19.796774193548387,131.10645161290324,True,1955-11-29 15:00:00,13.6,123.0,43.0,TS,STY,TS
1956107N06147,1956-04-16 00:00:00,1956-04-25 00:00:00,1956,150.0,73,15.657534246575343,129.8082191780822,True,1956-04-21 12:00:00,16.3,121.6,95.0,TS,STY,TY
1956187N12126,1956-07-05 06:00:00,1956-07-08 12:00:00,1956,80.0,27,15.881481481481481,116.34074074074073,True,1956-07-05 06:00:00,12.2,125.4,25.0,TS,TY,TD
1956220N08137,1956-08-09 00:00:00,1956-08-10 12:00:00,1956,40.0,13,16.407692307692308,124.26153846153846,True,1956-08-10 06:00:00,18.0,121.5,30.0,TS,TS,TD
1956238N14143,1956-08-25 00:00:00,1956-09-02 00:00:00,1956,110.0,65,17.70769230769231,121.47692307692307,True,1956-08-28 21:00:00,17.9,121.4,60.0,TS,TY,TS
1956261N12129,1956-09-18 00:00:00,1956-09-24 12:00:00,1956,140.0,53,19.50188679245283,121.87358490566038,True,1956-09-18 15:00:00,12.3,125.1,80.0,TS,STY,TY
1956288N11132,1956-10-16 00:00:00,1956-10-26 12:00:00,1956,130.0,85,18.69294117647059,121.23882352941176,True,1956-10-20 21:00:00,17.2,122.1,130.0,TS,STY,STY
1956314N08153,1956-11-10 00:00:00,1956-11-21 06:00:00,1956,95.0,86,13.529069767441861,127.24651162790698,True,1956-11-15 12:00:00,16.4,121.8,80.0,TS,TY,TY
1956329N09136,1956-11-24 06:00:00,1956-11-29 18:00:00,1956,75.0,45,13.69111111111111,126.97333333333334,True,1956-11-28 21:00:00,15.9,121.2,53.0,TS,TY,TS
1956342N14128,1956-12-07 06:00:00,1956-12-10 06:00:00,1956,85.0,25,13.927999999999999,124.712,True,1956-12-09 00:00:00,13.6,124.2,85.0,TS,TY,TY
1957003N07140,1957-01-03 00:00:00,1957-01-07 06:00:00,1957,40.0,35,9.314285714285715,130.3057142857143,True,1957-01-06 06:00:00,10.5,124.9,30.0,MX,TS,TD
1957192N07141,1957-07-11 00:00:00,1957-07-17 12:00:00,1957,90.0,53,16.30754716981132,123.89056603773585,True,1957-07-14 12:00:00,17.1,122.5,90.0,TS,TY,TY
1957261N12135,1957-09-18 00:00:00,1957-09-22 00:00:00,1957,90.0,33,16.296969696969697,124.9030303030303,True,1957-09-20 12:00:00,17.6,122.0,90.0,TS,TY,TY
1957284N13133,1957-10-12 00:00:00,1957-10-15 12:00:00,1957,45.0,29,16.93448275862069,118.52413793103447,True,1957-10-13 00:00:00,15.0,121.3,35.0,TS,TS,TS
1957309N11161,1957-11-06 06:00:00,1957-11-17 12:00:00,1957,140.0,91,16.852747252747253,130.86043956043954,True,1957-11-11 21:00:00,15.7,121.5,105.0,TS,STY,TY
1958293N12128,1958-10-20 06:00:00,1958-10-27 12:00:00,1958,100.0,59,13.916949152542374,116.36271186440678,True,1958-10-20 21:00:00,12.4,124.9,35.0,TS,TY,TS
1959248N13132,1959-09-05 12:00:00,1959-09-12 18:00:00,1959,50.0,59,20.471186440677965,120.74745762711865,True,1959-09-07 21:00:00,18.4,121.5,20.0,MX,TS,TD
1959278N15118,1959-10-05 12:00:00,1959-10-10 00:00:00,1959,40.0,37,18.82702702702703,119.94054054054054,True,1959-10-06 06:00:00,15.4,120.1,25.0,TS,TS,TD
1959317N09137,1959-11-13 00:00:00,1959-11-21 00:00:00,1959,115.0,65,18.146153846153847,129.9,True,1959-11-16 03:00:00,13.6,124.3,95.0,TS,TY,TY
1959346N06147,1959-12-13 00:00:00,1959-12-22 12:00:00,1959,150.0,77,10.589610389610389,125.36623376623378,True,1959-12-18 03:00:00,12.2,125.2,135.0,TS,STY,STY
1959356N05152,1959-12-24 00:00:00,1960-01-02 18:00:00,1959,130.0,79,10.770886075949367,133.9367088607595,True,1959-12-31 00:00:00,13.8,124.2,120.0,TS,STY,TY
1960112N09127,1960-04-22 00:00:00,1960-04-26 12:00:00,1960,75.0,37,15.25135135135135,120.57027027027029,True,1960-04-22 06:00:00,10.1,123.2,25.0,TS,TY,TD
1960146N08131,1960-05-25 06:00:00,1960-06-01 12:00:00,1960,45.0,59,17.40169491525424,129.96101694915254,True,1960-05-27 09:00:00,13.2,124.1,15.0,TS,TS,TD
1960173N08137,1960-06-23 18:00:00,1960-06-30 18:00:00,1960,125.0,57,16.549122807017543,119.59649122807018,True,1960-06-25 18:00:00,13.6,124.2,110.0,TS,TY,TY
1960243N11137,1960-08-30 12:00:00,1960-09-04 00:00:00,1960,45.0,37,14.116216216216214,123.56756756756756,True,1960-09-02 00:00:00,15.1,121.4,30.0,TS,TS,TD
1960273N10142,1960-10-02 12:00:00,1960-10-13 18:00:00,1960,90.0,91,15.685714285714287,119.57252747252748,True,1960-10-06 12:00:00,12.9,123.6,85.0,TS,TY,TY
1960282N21132,1960-10-08 12:00:00,1960-10-17 06:00:00,1960,80.0,71,17.798591549295775,120.9338028169014,True,1960-10-13 09:00:00,15.7,121.6,65.0,TS,TY,TY
1961193N12146,1961-07-16 00:00:00,1961-07-19 18:00:00,1961,45.0,31,18.73548387096774,120.7709677419355,True,1961-07-17 15:00:00,16.3,121.1,38.0,TS,TS,TS
1962135N07132,1962-05-16 06:00:00,1962-05-22 12:00:00,1962,80.0,51,18.32941176470588,126.70588235294117,True,1962-05-17 00:00:00,11.0,124.9,40.0,TS,TY,TS
1962217N10142,1962-08-06 00:00:00,1962-08-11 18:00:00,1962,65.0,47,15.172340425531916,119.70212765957447,True,1962-08-08 03:00:00,12.1,123.3,60.0,TS,TY,TS
1962308N08138,1962-11-06 06:00:00,1962-11-12 12:00:00,1962,90.0,51,15.01372549019608,114.20980392156862,True,1962-11-06 06:00:00,12.4,124.9,50.0,TS,TY,TS
1962327N05144,1962-11-25 00:00:00,1962-12-01 18:00:00,1962,100.0,55,9.505454545454544,118.32727272727273,True,1962-11-27 15:00:00,10.6,122.1,65.0,TS,TY,TY
1963167N09156,1963-06-26 06:00:00,1963-07-01 06:00:00,1963,70.0,41,18.429268292682927,120.04634146341462,True,1963-06-27 21:00:00,16.8,122.0,58.0,TS,TY,TS
1963196N10146,1963-07-17 12:00:00,1963-07-22 18:00:00,1963,85.0,43,17.844186046511627,122.46744186046513,True,1963-07-20 09:00:00,18.2,121.7,70.0,TS,TY,TY
1963219N09146,1963-08-07 12:00:00,1963-08-17 18:00:00,1963,125.0,83,13.937349397590362,125.61807228915661,True,1963-08-13 00:00:00,13.7,124.3,110.0,TS,TY,TY
1964177N09142,1964-06-26 00:00:00,1964-07-03 12:00:00,1964,100.0,61,16.09344262295082,121.00327868852459,True,1964-06-29 15:00:00,14.6,121.5,80.0,TS,TY,TY
1964196N17144,1964-07-13 18:00:00,1964-07-18 18:00:00,1964,100.0,41,14.51951219512195,130.41463414634146,True,1964-07-17 21:00:00,15.3,120.8,58.0,TS,TY,TS
1964215N07150,1964-08-02 06:00:00,1964-08-09 06:00:00,1964,135.0,57,15.566666666666666,128.640350877193,True,1964-08-06 21:00:00,17.7,121.8,108.0,TS,STY,TY
1964269N12142,1964-09-25 12:00:00,1964-10-01 12:00:00,1964,60.0,49,14.955102040816326,124.14081632653061,True,1964-09-28 21:00:00,13.8,122.9,45.0,TS,TS,TS
1964276N07142,1964-10-02 00:00:00,1964-10-08 06:00:00,1964,80.0,51,15.527450980392157,121.48823529411764,True,1964-10-05 00:00:00,16.3,122.1,80.0,TS,TY,TY
1964278N07156,1964-10-06 06:00:00,1964-10-13 12:00:00,1964,90.0,59,16.54915254237288,121.6728813559322,True,1964-10-09 06:00:00,17.3,122.1,70.0,TS,TY,TY
1964291N11143,1964-10-20 00:00:00,1964-10-23 18:00:00,1964,45.0,31,16.099999999999998,117.21290322580644,True,1964-10-21 06:00:00,15.5,120.8,35.0,TS,TS,TS
1964319N08141,1964-11-15 06:00:00,1964-11-24 00:00:00,1964,165.0,71,10.801408450704225,126.00704225352112,True,1964-11-19 12:00:00,10.1,124.4,100.0,TS,STY,TY
1964332N12120,1964-11-27 00:00:00,1964-11-28 18:00:00,1964,55.0,15,13.066666666666666,120.88000000000001,True,1964-11-28 03:00:00,13.3,120.6,40.0,TS,TS,TS
1964344N06153,1964-12-08 18:00:00,1964-12-16 00:00:00,1964,170.0,59,10.888135593220339,133.16101694915255,True,1964-12-14 18:00:00,15.5,121.4,75.0,TS,STY,TY
1965065N10128,1965-03-06 06:00:00,1965-03-07 06:00:00,1965,40.0,9,10.966666666666667,126.89999999999999,True,1965-03-07 06:00:00,11.5,125.3,25.0,TS,TS,TD
1965187N08144,1965-07-07 06:00:00,1965-07-16 00:00:00,1965,140.0,71,15.201408450704225,126.48732394366198,True,1965-07-13 06:00:00,17.4,122.2,130.0,TS,STY,STY
1965194N06156,1965-07-13 00:00:00,1965-07-23 12:00:00,1965,60.0,85,14.697647058823529,128.18588235294118,True,1965-07-19 06:00:00,17.0,122.4,25.0,TS,TS,TD
1966130N06139,1966-05-11 06:00:00,1966-05-22 00:00:00,1966,120.0,87,13.568965517241379,125.84827586206896,True,1966-05-15 15:00:00,11.4,125.4,90.0,TS,TY,TY
1966299N10137,1966-10-27 06:00:00,1966-11-02 12:00:00,1966,60.0,51,16.21372549019608,127.71764705882353,True,1966-10-31 09:00:00,17.7,121.8,58.0,TS,TS,TS
1966321N09138,1966-11-18 06:00:00,1966-11-26 00:00:00,1966,60.0,63,13.79047619047619,118.93174603174603,True,1966-11-19 21:00:00,13.9,123.4,60.0,TS,TS,TS
1966358N07139,1966-12-25 12:00:00,1966-12-30 18:00:00,1966,90.0,43,12.304651162790698,120.79302325581396,True,1966-12-26 15:00:00,12.1,125.4,85.0,TS,TY,TY
1967059N02145,1967-03-01 06:00:00,1967-03-04 00:00:00,1967,85.0,23,9.056521739130433,128.60434782608695,True,1967-03-03 09:00:00,10.1,124.4,55.0,TS,TY,TS
1967091N04151,1967-04-01 00:00:00,1967-04-11 00:00:00,1967,120.0,81,14.067901234567902,130.8469135802469,True,1967-04-08 03:00:00,17.4,122.2,100.0,TS,TY,TY
1967283N11150,1967-10-12 06:00:00,1967-10-20 00:00:00,1967,160.0,63,16.02698412698413,125.93650793650794,True,1967-10-17 00:00:00,17.9,121.8,100.0,TS,STY,TY
1967303N07150,1967-10-31 00:00:00,1967-11-08 00:00:00,1967,140.0,65,14.121538461538462,124.01076923076923,True,1967-11-03 15:00:00,13.1,123.7,103.0,TS,STY,TY
1967310N11129,1967-11-07 06:00:00,1967-11-10 18:00:00,1967,85.0,29,11.210344827586209,114.67931034482758,True,1967-11-07 06:00:00,9.4,125.9,45.0,TS,TY,TS
1968218N15141,1968-08-10 00:00:00,1968-08-13 12:00:00,1968,60.0,29,18.689655172413794,113.7344827586207,True,1968-08-10 06:00:00,17.8,121.5,25.0,TS,TS,TD
1968227N14145,1968-08-17 00:00:00,1968-08-21 18:00:00,1968,65.0,39,18.317948717948717,121.66666666666667,True,1968-08-19 06:00:00,17.7,121.7,50.0,TS,TY,TS
1968266N06142,1968-09-24 06:00:00,1968-10-01 12:00:00,1968,150.0,59,17.001694915254237,123.61525423728814,True,1968-09-28 09:00:00,18.0,122.1,100.0,TS,STY,TY
1968314N08138,1968-11-12 06:00:00,1968-11-24 00:00:00,1968,65.0,95,11.66,123.99263157894737,True,1968-11-18 18:00:00,10.0,125.6,55.0,TS,TY,TS
1968320N07168,1968-11-18 12:00:00,1968-11-28 00:00:00,1968,70.0,77,11.362337662337662,126.69220779220778,True,1968-11-23 15:00:00,11.4,125.1,53.0,TS,TY,TS
1968325N05168,1968-11-22 00:00:00,1968-11-29 18:00:00,1968,120.0,63,15.134920634920634,134.45396825396827,True,1968-11-29 12:00:00,15.7,121.4,30.0,TS,TY,TD
1969105N06148,1969-04-18 06:00:00,1969-04-25 06:00:00,1969,105.0,57,8.428070175438597,130.72456140350877,True,1969-04-23 15:00:00,9.8,126.1,75.0,TS,TY,TY
1970190N12140,1970-07-12 00:00:00,1970-07-16 06:00:00,1970,55.0,35,17.145714285714288,121.21428571428571,True,1970-07-13 21:00:00,17.8,122.0,45.0,TS,TS,TS
1970215N21137,1970-08-06 00:00:00,1970-08-09 06:00:00,1970,40.0,27,18.329629629629633,118.88888888888889,True,1970-08-06 21:00:00,16.4,122.2,40.0,TS,TS,TS
1970250N15140,1970-09-08 00:00:00,1970-09-14 06:00:00,1970,140.0,51,17.258823529411767,122.82549019607843,True,1970-09-11 03:00:00,16.4,121.4,113.0,TS,STY,TY
1970282N08147,1970-10-10 00:00:00,1970-10-18 00:00:00,1970,150.0,65,14.618461538461538,121.47076923076924,True,1970-10-13 06:00:00,13.6,123.5,115.0,TS,STY,TY
1970286N06143,1970-10-14 06:00:00,1970-10-25 12:00:00,1970,130.0,91,10.621978021978022,122.92527472527473,True,1970-10-18 12:00:00,6.7,125.3,110.0,TS,STY,TY
1970299N10157,1970-10-28 06:00:00,1970-11-06 12:00:00,1970,55.0,75,14.474666666666666,122.988,True,1970-11-01 00:00:00,13.9,123.0,35.0,TS,TS,TS
1970318N13157,1970-11-14 06:00:00,1970-11-22 06:00:00,1970,135.0,65,15.155384615384616,127.6246153846154,True,1970-11-19 00:00:00,14.7,122.4,110.0,TS,STY,TY
1971112N11132,1971-04-23 06:00:00,1971-05-04 00:00:00,1971,75.0,87,12.790804597701149,115.45632183908047,True,1971-04-24 03:00:00,11.3,125.4,45.0,TS,TY,TS
1971141N07156,1971-05-25 06:00:00,1971-05-30 06:00:00,1971,90.0,41,16.302439024390242,116.65365853658537,True,1971-05-26 00:00:00,12.5,125.1,85.0,TS,TY,TY
1971160N10135,1971-06-14 12:00:00,1971-06-18 00:00:00,1971,75.0,29,19.03793103448276,118.85517241379311,True,1971-06-15 09:00:00,17.3,122.3,63.0,TS,TY,TS
1971173N09136,1971-06-24 12:00:00,1971-06-28 06:00:00,1971,90.0,31,15.741935483870968,117.40645161290323,True,1971-06-25 00:00:00,11.8,124.9,70.0,TS,TY,TY
1971181N09138,1971-07-02 06:00:00,1971-07-07 00:00:00,1971,125.0,39,14.353846153846153,116.44615384615383,True,1971-07-03 03:00:00,11.3,124.9,50.0,TS,TY,TS
1971190N09141,1971-07-09 12:00:00,1971-07-18 00:00:00,1971,85.0,69,12.51159420289855,125.33623188405798,True,1971-07-14 03:00:00,11.5,125.5,80.0,TS,TY,TY
1971218N08161,1971-08-10 00:00:00,1971-08-17 00:00:00,1971,120.0,57,17.99298245614035,125.16666666666667,True,1971-08-13 18:00:00,17.5,122.0,95.0,TS,TY,TY
1971267N12130,1971-09-27 00:00:00,1971-09-30 18:00:00,1971,70.0,31,18.532258064516128,112.85161290322581,True,1971-09-27 00:00:00,16.9,122.2,30.0,TS,TY,TD
1971274N06134,1971-10-03 06:00:00,1971-10-09 12:00:00,1971,100.0,51,15.60392156862745,115.62745098039215,True,1971-10-03 09:00:00,12.3,125.3,40.0,TS,TY,TS
1971275N10176,1971-10-04 18:00:00,1971-10-13 06:00:00,1971,65.0,56,15.148214285714285,131.95892857142857,True,1971-10-10 12:00:00,17.3,122.4,35.0,TS,TY,TS
1971281N16134,1971-10-07 18:00:00,1971-10-11 00:00:00,1971,65.0,27,15.725925925925926,125.25925925925925,True,1971-10-10 03:00:00,15.0,121.4,38.0,TS,TY,TS
1971291N11134,1971-10-19 12:00:00,1971-10-23 18:00:00,1971,90.0,35,11.985714285714286,117.41714285714286,True,1971-10-20 06:00:00,9.5,125.5,50.0,TS,TY,TS
